Department,DistinguishedName,Enabled,GivenName,mail,Manager,Name,ObjectClass,ObjectGUID,OfficePhone,SamAccountName,SID,sn,Surname,Title,UserPrincipalName,DoB,Gender,
Strategy Consulting,CN=Blaine Dockter,TRUE,Blaine,blained@contoso.com,CN=Ellen Adams,Blaine Dockter,user,8550e839-78e9-4c42-85b7-1bfdf8aa8ed6,(206) 555-4484,blained,S-1-5-21-331390976-2650875657-2422772959-1789,Dockter,Dockter,Strategy Consultant,,1/29/1966,1,Female
Strategy Consulting,CN=Brad Sutton,TRUE,Brad,brads@contoso.com,CN=Christine Koch,Brad Sutton,user,22b24470-babd-435b-9349-23c1bcadd849,(212) 555-9758,brads,S-1-5-21-331390976-2650875657-2422772959-1734,Sutton,Sutton,Strategy Consulting Manager,,9/20/1977,0,Male
Operations,CN=Brian Cox,TRUE,Brian,brianc@contoso.com,CN=Keith Dishmo,Brian Cox,user,8857777c-5356-480d-bde8-7c23032db281,(206) 555-4515,brianc,S-1-5-21-331390976-2650875657-2422772959-1964,Cox,Cox,Procurement Manager,,10/31/1979,1,Female
Project Management,CN=Brian Groth,TRUE,Brian,briang@contoso.com,CN=Barry Johnson,Brian Groth,user,49576048-c1ae-4c61-b876-2608434f81ed,(206) 555-9642,briang,S-1-5-21-331390976-2650875657-2422772959-1752,Groth,Groth,Project Manager,,7/6/1966,2,Other
Content Management Consulting,CN=Cari Drummelle,TRUE,Cari,carid@contoso.com,CN=Stan Orme,Cari Drummelle,user,980f27ce-66f2-4fb4-8639-12849a484e92,(212) 555-3889,carid,S-1-5-21-331390976-2650875657-2422772959-1828,Drummelle,Drummelle,Content Management Consultant,,3/6/1967,2,Other
1099 Contractor,CN=Carlos Grilo,TRUE,Carlos,carlosg@contoso.com,CN=Brian Groth,Carlos Grilo,user,d7fc5e1b-279d-4263-8e46-50ddf3031fea,(206) 555-4536,carlosg,S-1-5-21-331390976-2650875657-2422772959-1821,Grilo,Grilo,Project Manager,,1/3/1974,2,Other
Engineering Operations,CN=Carol Troup,TRUE,Carol,carolt@contoso.com,CN=David Zazzo,Carol Troup,user,33d6a6a2-3615-4f0c-aa26-c15016432a24,(206) 555-7223,carolt,S-1-5-21-331390976-2650875657-2422772959-1750,Troup,Troup,Strategy Consulting Manager,,4/22/1968,2,Other
Senior Management,CN=Cassie Hicks,TRUE,Cassie,cassieh@contoso.com,CN=Adam Barr,Cassie Hicks,user,3d2f2dfa-243a-402e-870d-60dd49941a28,(425) 555-0129,cassieh,S-1-5-21-331390976-2650875657-2422772959-1887,Hicks,Hicks,Director of Client Services,,11/25/1984,2,Other
Strategy Consulting,CN=Cesar Garcia,TRUE,Cesar,cesarg@contoso.com,CN=Christine Koch,Cesar Garcia,user,8ad45b6d-8c85-496a-a2d9-78422c4ee663,(212) 555-4178,cesarg,S-1-5-21-331390976-2650875657-2422772959-1716,Garcia,Garcia,Strategy Consulting Manager,,2/5/1988,2,Other
Accounting,CN=Chase Carpenter,TRUE,Chase,chasec@contoso.com,CN=Karim Manar,Chase Carpenter,user,60f87580-1572-419c-88ee-2e8424732e0e,(206) 555-9764,chasec,S-1-5-21-331390976-2650875657-2422772959-1810,Carpenter,Carpenter,Accountant,,8/21/1975,2,Other
Engineering Operations,CN=Chen Yang,TRUE,Chen,cheny@contoso.com,CN=Carol Troup,Chen Yang,user,7e60ff5a-c38b-4815-8f00-61b269a8f083,(206) 555-6173,cheny,S-1-5-21-331390976-2650875657-2422772959-1769,Yang,Yang,Engineer,,10/7/1965,0,Male
Project Management,CN=Chris Barry,TRUE,Chris,chrisb@contoso.com,CN=Mike Nash,Chris Barry,user,77f897be-83f6-4ad6-aec6-0b051223bb82,(206) 555-9267,chrisb,S-1-5-21-331390976-2650875657-2422772959-1865,Barry,Barry,Project Manager,,11/24/1978,2,Other
Engineering Operations,CN=Chris F. Johnson,TRUE,Chris,chrisjohn@contoso.com,CN=Carol Troup,Chris F. Johnson,user,b3da460c-6191-4725-b08d-52bba48a574f,(206) 555-9003,chrisjohn,S-1-5-21-331390976-2650875657-2422772959-2002,Johnson,Johnson,Senior Engineer,,8/9/1974,0,Male
Engineering Operations,CN=Chris Gray,TRUE,Chris,chrisg@contoso.com,CN=Carol Troup,Chris Gray,user,a0e7e4af-217c-4c54-878e-b5236e5c96df,(206) 555-9244,chrisg,S-1-5-21-331390976-2650875657-2422772959-1938,Gray,Gray,Senior Engineer,,11/29/1987,1,Female
Marketing,CN=Chris Johnson,TRUE,Chris,chrisj@contoso.com,CN=Kelly Krout,Chris Johnson,user,f92c1baa-0038-4247-be68-12043fcc34e3,(206) 555-9000,chrisj,S-1-5-21-331390976-2650875657-2422772959-1999,Johnson,Johnson,Marketing Specialist,,6/24/1970,1,Female
1099 Contractor,CN=Chris McGurk,TRUE,Chris,chrism@contoso.com,CN=Brian Groth,Chris McGurk,user,0a15a779-2a72-43c3-8002-850ab93db8f0,(206) 555-1833,chrism,S-1-5-21-331390976-2650875657-2422772959-1822,McGurk,McGurk,Project Manager,,11/5/1974,1,Female
Project Management,CN=Chris Norred,TRUE,Chris,chrisn@contoso.com,CN=Alan Steiner,Chris Norred,user,72d2b1b2-1f94-4d3a-be01-c327e35c72b6,(206) 555-1931,chrisn,S-1-5-21-331390976-2650875657-2422772959-1708,Norred,Norred,Project Manager,,4/1/1988,2,Other
Executive,CN=Christa Geller,TRUE,Christa,christg@contoso.com,CN=Jeff Hay,Christa Geller,user,99612e2d-ea29-44ed-bc7e-bd17d5fd84a7,(425) 555-0177,christg,S-1-5-21-331390976-2650875657-2422772959-1717,Geller,Geller,CVP of Online,,9/7/1987,0,Male
Marketing,CN=Christian Jene,TRUE,Christian,christj@contoso.com,CN=Kelly Krout,Christian Jene,user,cf154fe7-9cdf-41f6-b875-437e5017faac,(206) 555-8834,christj,S-1-5-21-331390976-2650875657-2422772959-1959,Jene,Jene,Marketing Specialist,,5/14/1988,1,Female
Project Management,CN=Christian Rytt,TRUE,Christian,christr@contoso.com,CN=Chris Norred,Christian Rytt,user,96d25c15-e37f-455c-b75f-69e5da969cc0,(206) 555-5488,christr,S-1-5-21-331390976-2650875657-2422772959-1875,Rytt,Rytt,Project Manager,,2/1/1983,2,Other
Engineering,CN=Christine Koch,TRUE,Christine,christk@contoso.com,CN=Adam Barr,Christine Koch,user,bfb3de68-ea0c-4087-a0c8-176f83b674e3,(206) 555-2987,christk,S-1-5-21-331390976-2650875657-2422772959-1710,Koch,Koch,Managing Director,,10/4/1986,0,Male
Engineering Operations,CN=Cliff Diddier,TRUE,Cliff,cliffd@contoso.com,CN=Carol Troup,Cliff Diddier,user,8e18794b-7b4d-4375-b3cd-bcf6199926da,(206) 555-3748,cliffd,S-1-5-21-331390976-2650875657-2422772959-1768,Diddier,Diddier,Engineer,,12/19/1981,1,Female
Engineering Operations,CN=Corinna Bolender,TRUE,Corinna,corinnb@contoso.com,CN=Carol Troup,Corinna Bolender,user,a6a98baa-cacc-409f-beb4-22c3a807a473,(206) 555-9821,corinnb,S-1-5-21-331390976-2650875657-2422772959-1835,Bolender,Bolender,Engineer,,2/12/1978,2,Other
1099 Contractor,CN=Dan Bacon,TRUE,Dan,danb@contoso.com,CN=Brian Groth,Dan Bacon,user,1566b672-2488-4b58-ab09-9b62d3a4b9a5,(206) 555-2464,danb,S-1-5-21-331390976-2650875657-2422772959-1823,Bacon,Bacon,Project Manager,,9/26/1983,0,Male
Sales,CN=Dan Hough,TRUE,Dan,danh@contoso.com,CN=Arthur Yasinski,Dan Hough,user,9b7d63c5-c77c-415c-b37c-c27e1c22112e,(607) 555-4568,danh,S-1-5-21-331390976-2650875657-2422772959-1919,Hough,Hough,Salesperson,,11/18/1968,1,Female
Executive,CN=Dan Jump,TRUE,Dan,danj@contoso.com,,Dan Jump,user,b7de08a6-8417-491b-be62-85945a538f46,(425) 555-0179,danj,S-1-5-21-331390976-2650875657-2422772959-1705,Jump,Jump,CEO,,3/7/1974,2,Other
Sales,CN=Dan Park,TRUE,Dan,danp@contoso.com,CN=Adam Barr,Dan Park,user,242f6e15-e469-4e42-9510-0483f6d019c9,(713) 555-6563,danp,S-1-5-21-331390976-2650875657-2422772959-1713,Park,Park,Vice President NA Sales,,4/22/1987,0,Male
1099 Contractor,CN=Daniel Durrer,TRUE,Daniel,danield@contoso.com,CN=Brian Groth,Daniel Durrer,user,f4a59b38-d5fa-4ae5-8afe-b4fde603dad9,(206) 555-8793,danield,S-1-5-21-331390976-2650875657-2422772959-1824,Durrer,Durrer,Project Manager,,1/22/1977,2,Other
Project Management,CN=Danni Ortman,TRUE,Danni,dannio@contoso.com,CN=Andrew Ma,Danni Ortman,user,5bddae12-c93b-400e-95ea-7fdd978644f2,(206) 555-6667,dannio,S-1-5-21-331390976-2650875657-2422772959-1882,Ortman,Ortman,Senior Project Manager,,11/2/1982,2,Other
Project Management,CN=Dave Natsuhara,TRUE,Dave,daven@contoso.com,CN=Chris Norred,Dave Natsuhara,user,4b17322a-7f61-4d6a-8ec2-e38d5024af99,(206) 555-9299,daven,S-1-5-21-331390976-2650875657-2422772959-1874,Natsuhara,Natsuhara,Project Manager,,5/30/1969,2,Other
Sales,CN=David Bossard,TRUE,David,davidb@contoso.com,CN=April Stewart,David Bossard,user,a37a24a1-f54a-4e97-933f-b7aaf00d96af,(206) 555-1422,davidb,S-1-5-21-331390976-2650875657-2422772959-1930,Bossard,Bossard,Salesperson,,11/3/1966,1,Female
Operations,CN=David Bradley,TRUE,David,davidb1@contoso.com,CN=Ben Spain,David Bradley,user,94b0053a-e3d2-4bcd-974d-bf16903480b5,(206) 555-5934,davidb1,S-1-5-21-331390976-2650875657-2422772959-1951,Bradley,Bradley,Manager,,5/16/1983,2,Other
1099 Contractor,CN=David Derwin,TRUE,David,davidd@contoso.com,CN=Brian Groth,David Derwin,user,fcb614d3-c39a-4781-b7bd-8b96f5a5100d,(206) 555-7749,davidd,S-1-5-21-331390976-2650875657-2422772959-1796,Derwin,Derwin,Project Manager,,10/12/1967,1,Female
Content Management Consulting,CN=David Hamilton,TRUE,David,davidh@contoso.com,CN=Stan Orme,David Hamilton,user,d37da227-e452-489e-bf60-b8d87a4c32c0,(20) 5555-7963,davidh,S-1-5-21-331390976-2650875657-2422772959-1760,Hamilton,Hamilton,CRM Consultant,,8/21/1984,2,Other
Strategy Consulting,CN=David Maman,TRUE,David,davidm@contoso.com,CN=Christine Koch,David Maman,user,f88a171c-b337-4c26-9c4b-824bb74a0729,(212) 555-2867,davidm,S-1-5-21-331390976-2650875657-2422772959-1719,Maman,Maman,Strategy Consulting Manager,,12/12/1970,0,Male
Sales Engagement Management,CN=David Simpson,TRUE,David,davids@contoso.com,CN=Alan Brewer,David Simpson,user,4d339518-1c4e-46dd-8024-829f555b1562,(206) 555-1123,davids,S-1-5-21-331390976-2650875657-2422772959-1721,Simpson,Simpson,Sales Manager,,11/7/1989,1,Female
1099 Contractor,CN=David So,TRUE,David,davids1@contoso.com,CN=Brian Groth,David So,user,b330d274-7fcd-450d-af45-1eaceca06a4c,(206) 555-1459,davids1,S-1-5-21-331390976-2650875657-2422772959-1800,So,So,Project Manager,,12/20/1972,2,Other
Sales,CN=David Wright,TRUE,David,davidw@contoso.com,CN=David Simpson,David Wright,user,d2c272c5-1aff-46a0-a364-c101e2e22678,(404) 555-9264,davidw,S-1-5-21-331390976-2650875657-2422772959-1864,Wright,Wright,Salesperson,,2/1/1980,2,Other
Engineering Operations,CN=David Zazzo,TRUE,David,davidz@contoso.com,CN=Adam Barr,David Zazzo,user,8b066919-9f6c-4e45-8afe-7be6ab97853c,(206) 555-4122,davidz,S-1-5-21-331390976-2650875657-2422772959-1749,Zazzo,Zazzo,Managing Director,,7/23/1974,0,Male
Project Management,CN=Denis Dehenne,TRUE,Denis,denisd@contoso.com,CN=Barry Johnson,Denis Dehenne,user,1755cd16-eaa9-4d8d-9e0b-d6bb87c40479,(206) 555-6492,denisd,S-1-5-21-331390976-2650875657-2422772959-1863,Dehenne,Dehenne,Project Manager,,12/20/1969,0,Male
Content Management Consulting,CN=Diane Glimp,TRUE,Diane,dianeg@contoso.com,CN=Stan Orme,Diane Glimp,user,e9ad21c4-767b-44f7-be8a-e256e9e77002,(212) 555-3984,dianeg,S-1-5-21-331390976-2650875657-2422772959-1856,Glimp,Glimp,Content Management Consultant,,4/21/1980,1,Female
Marketing,CN=Diane Prescott,TRUE,Diane,dianep@contoso.com,CN=Molly Clark,Diane Prescott,user,99fc0f94-9573-477f-8e02-ca842e069b8c,(425) 555-0164,dianep,S-1-5-21-331390976-2650875657-2422772959-1732,Prescott,Prescott,Director of Ad Sales,,5/13/1977,1,Female
Operations,CN=Diane Tibbot,TRUE,Diane,dianet@contoso.com,CN=Adam Barr,Diane Tibbot,user,f04f136b-df92-46bf-a161-f2990a823694,(206) 555-9327,dianet,S-1-5-21-331390976-2650875657-2422772959-1709,Tibbot,Tibbot,CFO of Professional Services,,8/11/1967,0,Male
Sales,CN=Dominik Paiha,TRUE,Dominik,dominip@contoso.com,CN=Jose Saraiva,Dominik Paiha,user,02abd93d-71f3-4ca7-bba1-929dee6bc5d9,(212) 555-2538,dominip,S-1-5-21-331390976-2650875657-2422772959-1918,Paiha,Paiha,Salesperson,,3/24/1977,0,Male
Project Management,CN=Don Funk,TRUE,Don,donf@contoso.com,CN=Chris Norred,Don Funk,user,7eb81280-e285-4a1a-a1df-bd332fa9ec25,(206) 555-6561,donf,S-1-5-21-331390976-2650875657-2422772959-1873,Funk,Funk,Project Manager,,9/8/1971,1,Female
Strategy Consulting,CN=Don Hall,TRUE,Don,donh@contoso.com,CN=Ellen Adams,Don Hall,user,dcc10729-8dbe-426d-b6ac-0a95e9a2f0d7,(206) 555-3518,donh,S-1-5-21-331390976-2650875657-2422772959-1788,Hall,Hall,Strategy Consultant,,8/17/1979,2,Other
1099 Contractor,CN=Dough Mahugh,TRUE,Dough,doughm@contoso.com,CN=Brian Groth,Dough Mahugh,user,8f2ba7bb-e55c-4f06-b8fc-c2f1595b684f,(206) 555-7139,doughm,S-1-5-21-331390976-2650875657-2422772959-1819,Mahugh,Mahugh,Project Manager,,9/29/1976,0,Male
Sales,CN=Eduard Dell,TRUE,Eduard,eduardd@contoso.com,CN=Jack Creasey,Eduard Dell,user,37b056d8-f63e-412b-b172-63d60d35ea56,(360) 555-4638,eduardd,S-1-5-21-331390976-2650875657-2422772959-1723,Dell,Dell,Regional Sales Manager,,3/19/1988,0,Male
Sales,CN=Elizabeth Andersen,TRUE,Elizabeth,elizaba@contoso.com,CN=Arthur Yasinski,Elizabeth Andersen,user,daf00fa4-53f0-4732-a404-1e7a164f77a1,(617) 555-7395,elizaba,S-1-5-21-331390976-2650875657-2422772959-1862,Andersen,Andersen,Salesperson,,4/6/1987,2,Other
Strategy Consulting,CN=Ellen Adams,TRUE,Ellen,ellena@contoso.com,CN=Christine Koch,Ellen Adams,user,d856c97a-a02f-4b78-b966-1ea9cb9f28e7,(212) 555-1397,ellena,S-1-5-21-331390976-2650875657-2422772959-1747,Adams,Adams,Strategy Consulting Manager,,8/6/1985,1,Female
Sales,CN=Eran Harel,TRUE,Eran,eranh@contoso.com,CN=Jose Saraiva,Eran Harel,user,8a883c57-24f4-4bb9-8244-fc03f8cd24f6,(213) 555-1265,eranh,S-1-5-21-331390976-2650875657-2422772959-1908,Harel,Harel,Salesperson,,12/24/1989,1,Female
Sales,CN=Eric Gruber,TRUE,Eric,ericg@contoso.com,CN=Lene Aalling,Eric Gruber,user,b9a0bf66-8825-4609-9358-a43f9ab0404d,(206) 555-4629,ericg,S-1-5-21-331390976-2650875657-2422772959-1915,Gruber,Gruber,Salesperson,,8/25/1967,0,Male
Content Management Consulting,CN=Erik Andersen,TRUE,Erik,erica@contoso.com,CN=Stan Orme,Erik Andersen,user,6b1b2f88-0f3c-429f-8ad7-1535a1dabb3e,(206) 555-6448,erica,S-1-5-21-331390976-2650875657-2422772959-1834,Andersen,Andersen,Content Management Consultant,,12/30/1981,2,Other
Sales,CN=Erik Gubbels,TRUE,Erik,erikg@contoso.com,CN=April Stewart,Erik Gubbels,user,67299c87-9e80-4ee5-97f6-7efaafbe5bb1,(425) 555-9296,erikg,S-1-5-21-331390976-2650875657-2422772959-1917,Gubbels,Gubbels,Salesperson,,1/28/1970,2,Other
Operations,CN=Erika Cheley,TRUE,Erika,erikac@contoso.com,CN=Ben Spain,Erika Cheley,user,a29140f9-13c6-4849-9890-0687072dece8,(206) 555-1242,erikac,S-1-5-21-331390976-2650875657-2422772959-1751,Cheley,Cheley,Manager,,4/19/1966,2,Other
Engineering Operations,CN=Erwin Zischka,TRUE,Erwin,erwinz@contoso.com,CN=Carol Troup,Erwin Zischka,user,2d81b25a-4841-48ec-a283-8001181e3f88,(206) 555-8835,erwinz,S-1-5-21-331390976-2650875657-2422772959-1944,Zischka,Zischka,Engineer,,11/24/1968,1,Female
Content Management Consulting,CN=Esther Valle,TRUE,Esther,estherv@contoso.com,CN=Stan Orme,Esther Valle,user,b5dfbef4-8ca8-49f5-a2de-4af33b175552,(20) 5555-8548,estherv,S-1-5-21-331390976-2650875657-2422772959-1766,Valle,Valle,Content Management Consultant,,3/12/1988,0,Male
Sales Engagement Management,CN=Euan Garden,TRUE,Euan,euang@contoso.com,CN=April Stewart,Euan Garden,user,dfdadc39-7335-404d-af66-c77cf13a15f8,(804) 555-3383,euang,S-1-5-21-331390976-2650875657-2422772959-1907,Garden,Garden,Salesperson,,6/23/1981,0,Male
Sales Engagement Management,CN=Fabrice Canel,TRUE,Fabrice,fabricc@contoso.com,CN=Arthur Yasinski,Fabrice Canel,user,74e3e1ec-3ff1-4727-8a2c-8e795c246502,(214) 555-8815,fabricc,S-1-5-21-331390976-2650875657-2422772959-1900,Canel,Canel,Salesperson,,6/5/1977,1,Female
Marketing,CN=Felipe Martins,TRUE,Felipe,felipem@contoso.com,CN=Kelly Krout,Felipe Martins,user,6b3088e0-bb66-4e34-b1a1-26ccf714a0a2,(206) 555-2312,felipem,S-1-5-21-331390976-2650875657-2422772959-1960,Martins,Martins,Marketing Specialist,,9/9/1972,2,Other
Executive,CN=Frank Martinez,TRUE,Frank,frankm1@contoso.com,CN=Dan Jump,Frank Martinez,user,8724dd1b-c401-4487-9ea8-4c224ef67710,(425) 555-0121,frankm1,S-1-5-21-331390976-2650875657-2422772959-1711,Martinez,Martinez,COO,,1/2/1967,0,Male
Strategy Consulting,CN=Frank Miller,TRUE,Frank,frankm@contoso.com,CN=David Maman,Frank Miller,user,dece205a-6795-433d-99a3-2ba2f993cfff,(212) 555-5231,frankm,S-1-5-21-331390976-2650875657-2422772959-1777,Miller,Miller,Strategy Consultant,,4/1/1972,1,Female
Content Management Consulting,CN=Gareth Chan,TRUE,Gareth,garethc@contoso.com,CN=Stan Orme,Gareth Chan,user,6cfde6df-e2d3-4958-8697-ef78729cbe51,(20) 5555-5894,garethc,S-1-5-21-331390976-2650875657-2422772959-1758,Chan,Chan,Content Management Consultant,,5/16/1969,1,Female
